,cluster,rgb_ce,rgb_ce_err,rgb_mg,rgb_mg_err,rgb_fe,rgb_fe_err,rgb_N_stars,Name,GLON,GLAT,RAdeg,DEdeg,CG_Rad,CG_PMRA,CG_PMRA_ERR,CG_PMDE,CG_PMDE_ERR,V_RAD,V_RAD_ERR,CG_R_GC,CG_DistPc,CG_logAge,R_Guide,Z_Height,Z_Max,Azimuth_Angle,Eccentricity,Z_Period_Avg,Radial_Period_Avg,Fe_H_ASPCAP,C_H,C_H_ERR,N_H,N_H_ERR,O_H,O_H_ERR,Na_H,Na_H_ERR,Mg_H,Mg_H_ERR,Al_H,Al_H_ERR,Si_H,Si_H_ERR,P_H,P_H_ERR,S_H,S_H_ERR,K_H,K_H_ERR,Ca_H,Ca_H_ERR,Ti_H,Ti_H_ERR,V_H,V_H_ERR,Cr_H,Cr_H_ERR,Mn_H,Mn_H_ERR,Fe_H,Fe_H_ERR,Co_H,Co_H_ERR,Ni_H,Ni_H_ERR,Cu_H,Cu_H_ERR,Ce_H,Ce_H_ERR,Nd_H,Nd_H_ERR,Num_Stars_ASPCAP,OCCAM_Qual,EH_Rad,EH_PMRA,EH_PMRA_ERR,EH_PMDE,EH_PMDE_ERR,EH_R_GC,EH_DistPc,EH_logAge
90,NGC_609,0.38684511,0.047153564999999995,-0.285843,0.0169419375,-0.21535609,0.01074785,2,NGC_609,127.74362813,2.086,24.10288447,64.53717065,0.026,-0.673,0.116,-0.072,0.117,-44.3786,0.031,12.083,5023.0,8.35,12.301,0.2113,0.2182,160.821,0.078,160.323,256.167,-0.2402,-0.3332,0.02,0.1317,0.0236,-0.2732,0.0228,-0.0962,0.0407,-0.2858,0.02,-0.341,0.0487,-0.2318,0.02,-0.3353,0.0522,-0.0403,0.0808,-0.3332,0.0202,-0.249,0.022,-0.2692,0.0232,-0.2973,0.1431,-0.2892,0.02,-0.2395,0.0469,-0.2154,0.02,-0.2084,0.1314,-0.2845,0.0209,-0.058,0.1325,0.3868,0.0504,-0.4821,0.1362,2,2,0.187,-0.705,0.005,-0.145,0.005,12.042,5216.0,8.27
91,NGC_6705,0.2957730433333334,0.046668038083333335,-0.0018380803333333357,0.012228184416666668,0.1089854983333333,0.01025222125,12,NGC_6705,27.30015686,-2.774,282.76599002,-6.2752533,0.074,-1.568,0.16,-4.144,0.161,35.1477,1.0365,6.464,2203.0,8.49,6.474,-0.0907,0.0914,171.018,0.089,56.274,121.608,0.109,0.0929,0.0231,0.5523,0.0502,0.0037,0.0383,0.3075,0.0607,-0.0018,0.0343,-0.0366,0.0672,0.0903,0.039,0.1217,0.1232,0.1578,0.0316,-0.0543,0.0764,0.0392,0.0406,0.0756,0.0477,-0.3913,0.1427,0.0941,0.0553,0.2103,0.0383,0.109,0.032,0.1526,0.1299,0.1371,0.0274,-9999.0,-9999.0,0.2958,0.1183,0.2804,0.2245,12,4,0.179,-1.536,0.004,-4.166,0.004,6.226,2233.1,8.12
92,NGC_6756,0.23779112,0.046628054,-0.1962025,0.01184253,-0.06399708,0.01021334,1,NGC_6756,39.09660921,-1.684,287.1809762,4.71112861,0.028,-1.584,0.175,-3.631,0.176,47.1125,0.02,6.213,3166.0,7.68,6.685,-0.0784,0.0846,161.265,0.077,57.949,125.532,-0.064,-0.1053,0.02,0.1793,0.02,-0.1293,0.02,-0.06,0.02,-0.1962,0.02,-0.1917,0.0471,-0.0977,0.02,-0.0856,0.0466,-0.0509,0.02,-0.241,0.02,-0.1493,0.02,-0.1741,0.02,-0.1731,0.0471,-0.1653,0.02,-0.0083,0.02,-0.064,0.02,-0.0251,0.1298,-0.127,0.02,-9999.0,-9999.0,0.2378,0.0466,-0.3258,0.0471,1,1,0.168,-1.546,0.007,-3.665,0.007,6.153,2896.7,7.67
93,NGC_6791,0.2707003860714286,0.04731114071666668,0.32396782016666664,0.017221645491525422,0.30479407633333333,0.010882288066666667,60,NGC_6791,69.96058551,10.91,290.21995929,37.77428119,0.068,-0.421,0.165,-2.269,0.193,-46.9676,1.1165,7.942,4231.0,9.8,6.518,0.8177,0.8143,150.556,0.249,102.207,133.653,0.3056,0.4021,0.0314,0.5504,0.0615,0.3279,0.0342,0.4803,0.0623,0.3239,0.0494,0.2752,0.0766,0.3109,0.0378,0.5187,0.1837,0.2909,0.0627,0.3449,0.1057,0.275,0.058,0.3793,0.0642,0.1168,0.246,0.333,0.093,0.3894,0.1089,0.3049,0.0349,0.4724,0.1322,0.3259,0.0335,-9999.0,-9999.0,0.2738,0.1188,0.3589,0.1298,59,4,0.193,-0.421,0.002,-2.277,0.002,7.786,4189.4,9.58
94,NGC_6811,0.18867609,0.04692382183333333,-0.09655251283333333,0.01991649225,-0.03162922333333334,0.0105282925,6,NGC_6811,79.19578613,11.99,294.34389115,46.36411472,0.19,-3.399,0.116,-8.812,0.123,7.4267,0.2607,8.203,1161.0,9.03,9.059,0.2614,0.302,172.184,0.149,108.625,185.04,-0.0246,-0.1903,0.02,0.3158,0.0264,-0.0844,0.0313,0.0273,0.02,-0.1126,0.02,-0.1335,0.0475,-0.0584,0.0246,0.0068,0.1306,-0.0471,0.0425,-0.096,0.0562,-0.0596,0.02,-0.0982,0.0287,0.1191,0.1258,-0.0448,0.0355,-0.0583,0.02,-0.0467,0.02,-0.1156,0.1303,-0.0999,0.02,-0.0089,0.1306,0.1652,0.0595,-0.1443,0.0966,5,4,0.48,-3.355,0.007,-8.8,0.007,7.993,1110.1,9.03
95,NGC_6819,0.11815271202439027,0.04683129223809524,-0.013793199336666668,0.013999087158536585,0.035356244745238095,0.010414728452380952,42,NGC_6819,73.97946931,8.485,295.32175753,40.18986975,0.095,-2.916,0.128,-3.856,0.14,2.6056,1.1991,8.027,2765.0,9.35,8.528,0.4269,0.5514,160.885,0.072,116.332,169.601,0.0372,-0.0435,0.0395,0.3381,0.0725,-0.0032,0.0273,0.1254,0.0911,-0.0104,0.0298,-0.0107,0.0591,0.0301,0.0356,0.0418,0.1871,0.0389,0.0371,0.0232,0.0802,0.0158,0.0433,0.0219,0.0406,-0.1676,0.1381,0.0271,0.0426,0.0804,0.0367,0.039,0.0307,0.0658,0.1304,0.0227,0.0296,-9999.0,-9999.0,0.1187,0.0862,-0.022,0.1221,40,4,0.244,-2.9,0.003,-3.87,0.003,7.819,2510.3,9.23
96,NGC_6866,0.16947813,0.0468031135,-0.0607909935,0.014529800999999998,0.0175494156,0.010387819999999999,2,NGC_6866,79.56806906,6.841,300.98216128,44.16597554,0.104,-1.365,0.081,-5.743,0.092,12.6329,0.4064,8.202,1406.0,8.81,9.299,0.1877,0.2174,170.365,0.144,105.415,190.725,0.0175,-0.1381,0.02,0.4394,0.02,-0.0655,0.02,-0.0183,0.0475,-0.0608,0.0234,-0.0879,0.0476,-0.0142,0.02,0.1189,0.0468,0.1093,0.0228,-0.0429,0.033,-0.0064,0.0201,-0.0192,0.02,0.0823,0.0476,0.0154,0.02,0.0224,0.02,0.0175,0.02,-0.1086,0.1303,-0.0233,0.02,0.02,0.1307,0.1695,0.0468,-0.0428,0.0476,2,2,0.526,-1.372,0.005,-5.764,0.005,7.99,1402.0,8.8
97,NGC_7062,0.25578013,0.04676176,-0.11978249,0.014415792,-0.0082800845,0.01034779,1,NGC_7062,89.96521157,-2.739,320.85946535,46.38970896,0.048,-1.914,0.13,-4.045,0.092,-22.2734,0.0254,8.702,2492.0,8.63,8.868,-0.0983,0.168,163.379,0.025,90.758,175.119,-0.0083,-0.1596,0.02,0.4054,0.02,-0.1121,0.02,0.1481,0.02,-0.1198,0.02,-0.0724,0.0475,-0.0269,0.02,0.2671,0.0468,-0.0211,0.02,-0.0467,0.02,-0.0572,0.02,-0.1001,0.02,0.0447,0.0475,-0.0876,0.02,-0.0112,0.02,-0.0083,0.02,0.003,0.1302,-0.0634,0.02,-9999.0,-9999.0,0.2558,0.0468,0.0092,0.0475,1,1,0.273,-1.903,0.007,-4.07,0.007,8.448,2330.5,8.49
98,NGC_7423,0.2940401,0.047405638,-0.2404405,0.018603839,-0.18223108,0.0110035,1,NGC_7423,107.6157581,-2.274,343.78812814,57.09865914,0.032,-1.247,0.151,-1.25,0.13,-33.4763,0.02,10.269,3981.0,9.2,10.398,-0.1342,0.1402,158.335,0.111,115.319,213.148,-0.1822,-0.3265,0.02,0.1444,0.02,-0.2061,0.02,0.024,0.02,-0.2404,0.02,-0.2324,0.0494,-0.2007,0.02,-0.2633,0.0474,-0.0692,0.02,-0.3614,0.02,-0.1949,0.0232,-0.2563,0.02,-0.2538,0.0495,-0.3402,0.02,-0.1034,0.02,-0.1822,0.02,-0.1747,0.1322,-0.2228,0.02,-9999.0,-9999.0,0.294,0.0474,-0.1305,0.0494,1,1,0.254,-1.217,0.005,-1.293,0.005,9.818,3581.5,9.08
99,NGC_752,-0.029430295663636363,0.047574844490909075,-0.08516487655636365,0.02256555396296296,-0.00678674862309091,0.011101526609090908,55,NGC_752,136.90704019,-23.3,29.1600657,37.79271833,0.485,9.81,0.272,-11.713,0.266,6.0797,0.5334,8.669,483.0,9.07,8.525,-0.1695,0.2524,177.997,0.046,92.125,167.243,-0.0106,-0.1076,0.0597,0.4016,0.2891,-0.0482,0.1024,0.1096,0.4299,-0.0828,0.0615,-0.0995,0.0797,-0.0405,0.0668,-0.0707,0.3492,-0.0004,0.1176,-0.0803,0.1064,-0.0172,0.0764,0.0055,0.1652,-0.1522,0.5494,-0.0786,0.2025,-0.0516,0.1023,-0.0047,0.0411,-0.0327,0.456,-0.0624,0.0704,-0.3576,0.4663,-0.0294,0.3977,-0.036,0.2413,53,4,1.62,9.772,0.016,-11.824,0.016,8.419,433.6,9.15
100,NGC_7789,0.43798012,0.04656455,-0.06264649,0.011671779,0.034278914,0.01015511,1,NGC_7789,115.52365975,-5.367,359.32861728,56.72375025,0.211,-0.922,0.14,-1.933,0.138,-53.231,0.025,9.432,2100.0,9.19,8.669,-0.1734,0.1742,168.461,0.089,88.004,170.333,-0.0032,-0.775,0.02,0.7146,0.02,-0.1064,0.02,0.3467,0.02,-0.0626,0.02,0.0641,0.0469,0.0411,0.02,-0.1028,0.0466,0.0382,0.02,0.051,0.02,-0.012,0.02,-0.0594,0.02,0.1134,0.0469,-0.0345,0.02,0.0817,0.02,0.0343,0.02,0.1073,0.1296,-0.0505,0.02,-9999.0,-9999.0,0.438,0.0466,0.081,0.0469,1,4,0.537,-0.914,0.002,-1.952,0.002,9.141,1968.5,9.19
101,Ruprecht_128,0.24215013,0.04694399,0.007867504,0.015812334,0.12925892,0.0105274,1,Ruprecht_128,354.77979077,-2.854,266.06630245,-34.87673694,0.057,1.889,0.169,-1.262,0.137,-39.7636,0.0294,6.578,1772.0,8.98,7.187,-0.0718,0.1182,181.402,0.113,65.761,138.059,0.1293,-0.017,0.02,0.5655,0.02,0.0052,0.02,0.3346,0.02,0.0079,0.02,0.107,0.048,0.1252,0.02,0.0547,0.0469,0.1462,0.02,0.0359,0.02,0.0352,0.021,-0.0488,0.02,0.09,0.048,0.1067,0.02,0.1579,0.02,0.1293,0.02,0.1482,0.1307,0.0677,0.02,-9999.0,-9999.0,0.2422,0.0469,0.304,0.048,1,1,0.265,1.88,0.01,-1.281,0.01,6.287,1848.2,8.4
102,Ruprecht_147,0.12034419597297297,0.047239776297297295,0.03508792452972974,0.018740742945945944,0.10240469670270269,0.010821886756756756,37,Ruprecht_147,21.01159074,-12.78,289.14078193,-16.26885181,0.652,-0.939,0.445,-26.576,0.581,42.1726,0.4178,8.046,323.0,9.48,7.953,-0.0514,0.2347,179.196,0.182,85.722,159.836,0.105,0.0454,0.0574,0.2716,0.133,0.1125,0.0488,0.0643,0.353,0.0421,0.0424,0.132,0.0713,0.1245,0.059,-0.0162,0.4147,0.1247,0.0622,0.056,0.0893,0.0497,0.053,0.0047,0.136,0.2323,0.3932,0.0728,0.1344,0.1426,0.0426,0.1071,0.0269,0.1676,0.3101,0.1181,0.0479,-0.0708,0.3024,0.1095,0.3448,0.1533,0.1222,32,4,2.874,-0.949,0.044,-26.672,0.044,7.847,302.7,8.95
103,Ruprecht_18,0.30923012,0.046497952,-0.19110951,0.010715247,-0.115561076,0.01008226,1,Ruprecht_18,239.91972304,-4.936,111.1639998,-26.2066973,0.085,-0.487,0.08,1.127,0.102,31.671,0.0237,9.933,2655.0,8.11,9.904,-0.2043,0.2319,193.322,0.12,115.074,201.789,-0.1156,-0.1966,0.02,0.3323,0.02,-0.1693,0.02,0.1244,0.02,-0.1911,0.02,-0.1682,0.0467,-0.1225,0.02,-0.2023,0.0465,-0.0327,0.02,-0.178,0.02,-0.1915,0.02,-0.2067,0.02,-0.3063,0.0467,-0.175,0.02,-0.0501,0.02,-0.1156,0.02,-0.0785,0.1294,-0.1715,0.02,-9999.0,-9999.0,0.3092,0.0465,-0.8832,0.0467,1,1,0.679,-0.465,0.005,1.165,0.005,9.556,2409.0,8.21
104,Ruprecht_82,0.3334501,0.04662554,-0.09392849,0.012475061,-0.030082082,0.010213455,1,Ruprecht_82,277.72758644,-0.479,146.43116052,-54.0024347,0.063,-6.443,0.083,4.348,0.094,1.9938,0.025,8.334,2201.0,8.66,8.878,0.0017,0.0094,195.17,0.07,84.0,176.424,-0.0301,-0.2277,0.02,0.4728,0.02,-0.1046,0.02,0.1536,0.02,-0.0939,0.02,-0.0538,0.047,-0.0109,0.02,0.1186,0.0466,0.0683,0.02,-0.1489,0.02,-0.0702,0.02,-0.145,0.02,-0.0035,0.0471,-0.0837,0.02,-0.0164,0.02,-0.0301,0.02,0.0398,0.1298,-0.0796,0.02,-9999.0,-9999.0,0.3335,0.0466,-0.1319,0.0471,1,1,0.336,-6.428,0.006,4.375,0.006,8.113,2111.9,8.65
105,Ruprecht_85,0.1180801305,0.046768050500000005,-0.28677247,0.013868202999999999,-0.23597109,0.0103582025,2,Ruprecht_85,280.19981107,0.076,150.36247013,-55.10945131,0.034,-4.443,0.116,3.241,0.113,21.8273,0.0257,8.856,4803.0,8.31,8.891,0.0251,0.0905,212.259,0.06,86.088,175.848,-0.236,-0.3098,0.02,0.0062,0.1861,-0.2428,0.02,-0.188,0.1037,-0.2868,0.02,-0.2539,0.0475,-0.2246,0.02,-0.5844,0.1975,-0.1578,0.02,-0.306,0.02,-0.2706,0.0227,-0.378,0.0515,-0.4128,0.2072,-0.3269,0.02,-0.2363,0.02,-0.236,0.0213,-0.3016,0.1302,-0.2987,0.0457,-0.0327,0.1302,0.1181,0.0987,-0.3853,0.0824,2,2,0.192,-4.422,0.005,3.24,0.005,8.656,4759.2,8.17
106,Ruprecht_97,0.3990401,0.046613354,-0.0541325,0.011821121,0.07630992,0.01019754,1,Ruprecht_97,296.79043914,-0.484,179.36630023,-62.71003227,0.03,-6.486,0.069,0.435,0.066,0.219,0.0322,7.445,3890.0,8.25,6.959,-0.0164,0.094,207.797,0.07,61.414,131.809,0.0763,0.0661,0.02,0.5199,0.02,-0.005,0.02,0.3445,0.02,-0.0541,0.02,-0.0449,0.047,0.0805,0.02,0.0868,0.0466,0.1744,0.02,-0.1733,0.02,-0.0372,0.02,-0.0122,0.02,-0.6371,0.047,0.1005,0.02,0.1553,0.02,0.0763,0.02,0.1786,0.1297,0.0844,0.02,-9999.0,-9999.0,0.399,0.0466,0.1501,0.047,1,1,0.14,-6.511,0.008,0.526,0.008,7.255,3392.4,8.22
107,SAI_116,0.28201063000000004,0.046652641,0.064561007,0.01218578375,0.14007391,0.0102381025,2,SAI_116,295.75850815,-0.223,177.31588712,-62.22569612,0.048,-7.729,0.141,1.339,0.096,-14.0982,0.1515,7.528,4130.0,8.1,7.636,0.0002,0.0263,209.609,0.059,67.233,146.775,0.1401,0.1293,0.0211,0.4939,0.134,0.0837,0.02,0.3582,0.0932,0.0646,0.02,0.0819,0.0471,0.1434,0.02,0.2174,0.0506,0.2267,0.036,-0.031,0.02,0.0492,0.0216,0.075,0.02,-0.3252,0.1062,0.0791,0.02,0.2661,0.0222,0.1401,0.02,0.2516,0.1299,0.1383,0.02,-9999.0,-9999.0,0.282,0.0565,0.2284,0.083,2,2,0.187,-7.703,0.005,1.349,0.005,7.317,3712.7,7.79
108,SAI_14,0.22112013,0.047868438,-0.30002648,0.024044711,-0.2178111,0.0114715,1,SAI_14,126.89006672,0.011,21.49111198,62.617064,0.036,-1.886,0.11,-1.058,0.133,-65.6483,0.02,11.207,3999.0,9.13,11.419,0.0276,0.4134,163.417,0.052,163.781,235.775,-0.2178,-0.3946,0.0244,0.1188,0.02,-0.2226,0.02,-0.2428,0.02,-0.3,0.024,-0.2678,0.0508,-0.2004,0.0208,-0.2087,0.0479,-0.0586,0.02,-0.2393,0.02,-0.2352,0.0274,-0.3073,0.0241,-0.1703,0.0509,-0.2354,0.02,-0.2977,0.02,-0.2178,0.02,-0.0927,0.1336,-0.3195,0.02,-0.2498,0.1348,0.2211,0.0479,-0.22,0.0508,1,1,0.289,-1.886,0.009,-1.097,0.009,10.884,3857.1,8.73
109,SAI_149,0.27665013,0.04698439,-0.2240125,0.016723953,-0.11886109,0.0105715,1,SAI_149,114.02447203,-1.056,354.51175217,60.54057128,0.043,-3.901,0.151,-1.633,0.113,-68.3455,0.02,10.225,3426.0,8.45,10.601,-0.0388,0.0442,162.183,0.116,112.966,218.679,-0.1189,-0.2138,0.02,0.2309,0.02,-0.2535,0.02,-0.1048,0.02,-0.224,0.02,-0.1755,0.0481,-0.1189,0.02,-0.5291,0.047,-0.1111,0.02,-0.0657,0.02,-0.1098,0.0217,-0.2751,0.02,-0.2598,0.0482,-0.1369,0.02,-0.0887,0.02,-0.1189,0.02,-0.1934,0.1309,-0.1992,0.02,-9999.0,-9999.0,0.2767,0.047,-0.1647,0.0481,1,1,0.204,-3.809,0.013,-1.709,0.013,9.918,3276.0,7.94
110,SAI_16,0.16754813,0.04796194,-0.36170048,0.02953416,-0.2659511,0.01163305,1,SAI_16,131.43764556,0.624,31.38978574,62.26544544,0.06,-0.725,0.073,-0.305,0.121,-61.2828,0.081,12.144,4893.0,9.0,12.056,0.0822,0.1348,162.421,0.012,143.61,248.196,-0.266,-0.4733,0.0328,0.1024,0.02,-0.2442,0.02,-0.2265,0.02,-0.3617,0.0295,-0.6287,0.0515,-0.3868,0.0246,0.1769,0.048,-0.6752,0.02,-0.0715,0.02,-0.1495,0.0309,-0.2292,0.0291,0.1264,0.0511,-0.0606,0.02,-0.2849,0.02,-0.266,0.02,-0.5934,0.1345,-0.3406,0.02,-0.0573,0.1345,0.1675,0.048,-0.1379,0.0511,1,1,0.327,-0.799,0.008,-0.35,0.008,11.101,3906.7,8.44
111,Skiff_J0058+68.4,0.4222901,0.048154189,-0.190671,0.0309985365,-0.135191085,0.0118504,2,Skiff_J0058+68.4,123.56507753,5.612,14.57713194,68.47575145,0.172,-2.063,0.085,0.366,0.091,-24.1983,0.2608,9.918,2476.0,9.15,10.75,0.2663,0.3503,168.05,0.093,144.659,222.577,-0.1352,-0.2665,0.0339,0.223,0.1665,-0.0901,0.0798,-0.1192,0.1105,-0.1907,0.0324,-0.1602,0.0652,-0.0534,0.1277,-0.4525,0.1979,-0.1443,0.02,-0.2428,0.0341,-0.0932,0.0488,-0.1758,0.0311,0.0742,0.0519,-0.2207,0.1355,-0.1706,0.0701,-0.1352,0.0292,-0.3119,0.2503,-0.1562,0.0206,-0.0108,0.1354,0.4223,0.1302,-0.3656,0.052,2,2,0.374,-2.057,0.004,0.314,0.004,9.776,2571.6,8.62
112,Teutsch_12,0.22836178666666665,0.047344056,-0.2593238233333333,0.022584859,-0.19405775,0.01097625,3,Teutsch_12,197.91291885,0.586,96.417386,13.60844976,0.047,-0.704,0.15,-0.98,0.176,52.0574,0.2975,12.076,3865.0,8.92,12.189,0.0695,0.3025,185.649,0.041,167.593,252.565,-0.1955,-0.3894,0.0597,0.2245,0.0306,-0.2334,0.02,0.1115,0.021,-0.2671,0.0206,-0.1932,0.0488,-0.2098,0.02,-0.2172,0.1469,-0.0748,0.02,-0.2078,0.02,-0.2213,0.0246,-0.3319,0.0377,0.3062,0.051,-0.2938,0.1049,-0.2566,0.0281,-0.1955,0.02,-0.3276,0.1317,-0.2923,0.02,-0.1434,0.1318,0.2548,0.0472,-0.2513,0.0818,2,2,0.168,-0.688,0.009,-0.969,0.009,11.441,3436.7,8.94
113,Teutsch_51,0.002433473999999991,0.047867747999999995,-0.38407415333333333,0.02919877133333333,-0.32816109666666665,0.011523258333333335,6,Teutsch_51,182.74231977,0.479,88.46409942,26.82958964,0.034,0.545,0.215,-0.345,0.188,17.6143,0.3846,13.009,4673.0,8.83,13.802,0.0715,0.4842,180.985,0.07,233.0,292.513,-0.3303,-0.4699,0.0394,0.0135,0.0461,-0.3872,0.0485,-0.2635,0.1229,-0.3773,0.0286,-0.334,0.0505,-0.3049,0.0268,-0.7586,0.5394,-0.2879,0.0413,-0.356,0.2688,-0.3497,0.0303,-0.4292,0.0349,0.2465,0.129,-0.3449,0.0312,-0.4125,0.0593,-0.3303,0.02,-0.8497,0.3209,-0.3817,0.022,-1.0673,0.6151,0.062,0.1948,-0.2887,0.1236,4,2,0.257,0.538,0.009,-0.317,0.009,11.902,3782.6,8.88
114,Teutsch_84,0.4168401,0.04749259,0.008007504,0.021779815,0.11845892,0.01107515,1,Teutsch_84,344.44431534,-0.456,256.08916522,-42.07025604,0.035,-1.738,0.246,-1.109,0.244,-49.7398,0.0349,6.018,2446.0,9.02,6.369,-0.0045,0.1447,186.256,0.072,57.161,118.818,0.1185,-0.0043,0.022,0.5554,0.02,0.0196,0.02,0.4759,0.02,0.008,0.0218,0.0311,0.0496,0.1077,0.02,0.1533,0.0475,0.0203,0.02,-0.051,0.02,0.1065,0.0255,0.1381,0.0218,0.0239,0.0497,0.1892,0.02,0.1192,0.02,0.1185,0.02,0.2609,0.1324,0.1302,0.02,-9999.0,-9999.0,0.4168,0.0475,0.4941,0.0496,1,1,0.231,-1.583,0.008,-1.246,0.008,5.843,2403.2,8.64
115,Tombaugh_2,0.06746257306666666,0.04783503888888888,-0.33577638444444446,0.027536437444444443,-0.35560109333333334,0.01152569438888889,9,Tombaugh_2,232.83519833,-6.875,105.77747143,-20.81703303,0.028,-0.464,0.17,1.349,0.177,121.4984,0.4805,15.757,9316.0,9.21,15.939,-1.0804,1.1032,207.884,0.034,346.369,338.382,-0.3766,-0.487,0.0708,-0.0456,0.1333,-0.2854,0.1139,-0.4186,0.3763,-0.3279,0.0419,-0.3344,0.0506,-0.3204,0.0346,-0.4418,0.4613,-0.2234,0.0973,-0.3125,0.0805,-0.3897,0.0488,-0.4331,0.0288,-0.113,0.4101,-0.3893,0.1161,-0.3738,0.0303,-0.3491,0.0277,-0.4792,0.3107,-0.384,0.0438,-1.0118,0.9881,0.1084,0.3265,-0.6007,0.2914,8,4,0.183,-0.511,0.005,1.409,0.005,13.582,7054.6,9.23
116,Tombaugh_5,0.54589015,0.04689767,-0.1854061,0.014925011,-0.038650084,0.010480815,1,Tombaugh_5,143.93625837,3.6,56.97443323,59.07554097,0.17,0.515,0.113,-2.388,0.12,-23.8781,0.02,9.768,1706.0,8.27,9.603,0.1314,0.1674,174.11,0.018,101.815,191.45,-0.0387,-0.066,0.02,0.309,0.02,-0.2177,0.02,-0.0541,0.02,-0.1854,0.02,-0.2321,0.0479,-0.0779,0.02,0.1256,0.0469,0.2085,0.02,-0.2585,0.02,-0.1244,0.0204,0.01,0.02,-0.163,0.0479,0.0507,0.02,-0.0251,0.02,-0.0387,0.02,-0.0901,0.1306,-0.0504,0.02,-9999.0,-9999.0,0.5459,0.0469,0.3652,0.0479,1,1,0.437,0.456,0.005,-2.459,0.005,9.491,1636.3,8.17
117,Trumpler_20,0.22527134043478264,0.04704060782608695,0.018546024869565216,0.016245569913043482,0.10318822169565219,0.010623395652173913,23,Trumpler_20,301.47404924,2.205,189.88786063,-60.63287457,0.112,-7.089,0.092,0.18,0.085,-40.1539,0.5509,7.178,3392.0,9.27,7.671,0.1469,0.162,203.75,0.073,73.809,148.247,0.102,-0.0443,0.0359,0.4547,0.0526,0.0426,0.02,0.2231,0.0458,0.017,0.0226,0.0814,0.0483,0.0925,0.0284,0.0181,0.1835,0.1196,0.0629,-0.0079,0.0526,0.0382,0.0385,0.0166,0.031,-0.1365,0.1351,0.0839,0.0454,0.1435,0.0263,0.102,0.0242,0.125,0.131,0.0581,0.0323,-9999.0,-9999.0,0.2267,0.0692,0.2732,0.1111,22,4,0.17,-7.11,0.002,0.193,0.002,6.995,3279.4,9.2
118,Trumpler_26,0.29011012999999997,0.046694506,0.1268825,0.0121820105,0.232678905,0.0102782725,2,Trumpler_26,357.52835848,2.854,262.12636249,-29.48885363,0.072,-0.873,0.129,-3.082,0.095,-7.6909,0.1734,6.819,1524.0,8.4,6.694,0.0929,0.0919,180.552,0.027,58.135,125.431,0.2327,0.1669,0.0244,0.7336,0.0295,0.1539,0.0403,0.5329,0.026,0.1269,0.0247,0.1185,0.096,0.2084,0.042,0.5145,0.0505,0.265,0.02,0.188,0.0278,0.1683,0.033,0.2123,0.0207,-0.1202,0.1432,0.1861,0.0356,0.3657,0.0672,0.2327,0.0296,0.3155,0.13,0.2622,0.0324,-9999.0,-9999.0,0.2901,0.0467,0.4496,0.0473,2,2,0.465,-0.893,0.013,-3.104,0.013,6.638,1488.3,8.29
119,Trumpler_5,-0.23538259727272726,0.04758895518181818,-0.3997863781818181,0.022567453681818183,-0.438759270909091,0.011183068090909092,11,Trumpler_5,202.82052125,1.019,99.12705764,9.45854713,0.134,-0.59,0.191,0.273,0.184,50.6139,1.271,11.211,3047.0,9.63,11.876,0.082,0.1081,186.05,0.077,140.283,247.436,-0.4388,-0.5271,0.028,-0.2165,0.0446,-0.3513,0.0372,-0.3989,0.139,-0.401,0.0245,-0.3738,0.05,-0.402,0.0256,-0.5976,0.4609,-0.324,0.0911,-0.3104,0.0634,-0.4363,0.0346,-0.4809,0.0443,-0.3998,0.2976,-0.4808,0.0681,-0.4964,0.02,-0.4396,0.02,-0.5623,0.3567,-0.4759,0.0281,-0.396,0.6124,-0.2375,0.0978,-0.6788,0.3708,10,3,0.503,-0.618,0.002,0.269,0.002,10.858,2904.9,9.34
120,UBC_107,0.37095013,0.046826992,-0.036632497,0.01418262,0.062296916,0.010411515,1,UBC_107,27.2535217,0.556,279.76776016,-4.7974583,0.085,0.958,0.145,-1.652,0.132,35.2188,0.02,6.222,2501.0,8.37,6.993,0.0395,0.1116,169.395,0.12,63.136,133.603,0.0623,-0.0676,0.02,0.4199,0.02,-0.046,0.02,0.138,0.02,-0.0366,0.02,-0.037,0.0476,0.0444,0.02,0.0392,0.0468,0.1653,0.02,-0.1088,0.02,0.0049,0.02,0.0721,0.02,-0.1284,0.0477,0.0037,0.02,0.0436,0.02,0.0623,0.02,0.0286,0.1304,0.0063,0.02,-9999.0,-9999.0,0.371,0.0468,0.1831,0.0476,1,1,0.192,0.983,0.007,-1.703,0.007,5.845,2711.6,8.41
121,UBC_143,0.2915801,0.046628997,-0.117652796,0.012384051,-0.008592085,0.010212205,1,UBC_143,80.50406291,8.372,299.80784657,45.75096743,0.142,-3.183,0.071,-7.858,0.088,4.4371,0.025,8.222,1243.0,8.67,9.029,0.2013,0.2226,171.522,0.132,100.477,183.103,-0.0086,-0.0874,0.02,0.347,0.02,-0.1556,0.02,0.0616,0.02,-0.1177,0.02,-0.0549,0.0471,-0.0321,0.02,-0.121,0.0466,0.0479,0.02,-0.0996,0.02,-0.028,0.02,-0.0444,0.02,-0.0809,0.0471,-0.0241,0.02,0.0006,0.02,-0.0086,0.02,-0.0023,0.1298,-0.0708,0.02,-9999.0,-9999.0,0.2916,0.0466,0.0383,0.0471,1,1,0.941,-3.141,0.024,-7.765,0.024,8.013,1301.0,8.7
